,mean_h,mean_s,mean_v,std_h,std_s,std_v,var_h,var_s,var_v,class
0,40.20800781,97.09570313,64.20898438,4.197364121,24.56954855,12.89922165,17.61786556,603.6627159,166.3899193,1
1,42.00488281,105.5048828,72.64160156,9.100618947,29.79149508,25.82962257,82.82126522,887.5331793,667.1694021,1
2,42.48242188,106.5625,71.1484375,9.10559171,31.41263928,25.81211103,82.91180038,986.7539063,666.2650757,1
3,48.35449219,101.1396484,62.49121094,7.082543415,37.24070551,19.87116514,50.16242123,1386.870147,394.863204,1
4,47.47753906,103.5908203,70.62792969,6.292316386,22.36765665,18.6546859,39.59324551,500.3120642,347.9973059,1
5,41.37695313,104.5136719,65.3515625,11.92958246,33.42876359,24.20197882,142.3149376,1117.482235,585.7357788,1
6,51.35449219,106.1972656,56.44726563,10.36861246,39.4956751,21.39384112,107.5081244,1559.908352,457.6964378,1
7,48.91894531,101.0986328,56.81933594,13.81335802,36.62978635,23.29644171,190.8088598,1341.741248,542.7241964,1
8,42.12207031,97.46484375,45.14648438,12.41131592,36.98686336,22.39166688,154.0407629,1368.028061,501.3867455,1
9,51.44140625,109.9804688,64.6953125,2.357767328,36.25939546,18.75288877,5.559066772,1314.743759,351.6708374,1
10,19.53125,128.4111328,46.51171875,6.259445987,33.57910892,17.81797776,39.18066406,1127.556556,317.4803314,1
11,33.1015625,92.01171875,55.20507813,9.070655678,32.10909534,20.04479684,82.27679443,1030.994003,401.7938805,1
12,40.03808594,93.8515625,68.06542969,8.189259988,24.69065323,17.118002,67.06397915,609.6283569,293.0259924,1
13,35.0234375,94.5078125,69.36425781,9.380906343,36.1826953,18.47821595,88.00140381,1309.187439,341.4444647,1
14,55.9921875,62.01367188,27.04492188,32.87559317,37.94663462,13.58415371,1080.804626,1439.947079,184.529232,1
15,37.12109375,78.07714844,57.50390625,20.18916848,46.91894716,25.75826597,407.6025238,2201.387603,663.488266,1
16,42.26953125,95.30273438,56.62695313,11.02472405,34.31967355,25.28701449,121.5445404,1177.839993,639.4331017,1
17,40.44921875,103.9726563,53.828125,11.17603111,38.29441399,24.26931717,124.9036713,1466.462143,588.9997559,1
18,28.91796875,98.59179688,41.87304688,12.04763938,36.62296511,20.36525592,145.1456146,1341.241573,414.7436485,1
19,42.02050781,101.2138672,52.88085938,7.602975963,39.15606498,25.62285557,57.80524349,1533.197425,656.5307274,1
20,48.30761719,105.4433594,78.58789063,3.755737874,26.95599559,19.7439194,14.10556698,726.6256981,389.8223534,1
21,45.51464844,101.2695313,55.3671875,8.026918839,26.78516252,19.02059784,64.43142605,717.444931,361.7831421,1
22,42.63867188,108.4423828,69.30175781,5.040684922,30.11862291,17.0540775,25.40850449,907.1314459,290.8415594,1
23,46.96777344,113.1972656,73.97070313,2.974490589,27.49652237,18.16399687,8.847594261,756.0587425,329.9307823,1
