,mean_l,mean_a,mean_bhuman,std_l,std_a,std_bhuman,var_l,var_a,var_bhuman,class
0,65.66699219,119.6630859,141.4472656,14.41351648,2.443255354,2.801219103,207.7494574,5.969496727,7.846828461,1
1,73.94140625,118.3671875,143.9345703,28.20344069,3.258692927,5.630606252,795.4340668,10.61907959,31.70372677,1
2,72.25195313,118.3105469,143.7822266,28.2127277,3.256490828,5.748338459,795.958004,10.60473251,33.04339504,1
3,62.28613281,117.4013672,139.8564453,22.18946213,3.216175865,2.520985643,492.3722296,10.34378719,6.355368614,1
4,70.78808594,115.4472656,142.734375,19.80981386,3.807264892,3.345319433,392.4287252,14.49526596,11.19116211,1
5,64.99902344,118.8154297,141.7832031,26.75866899,5.733171383,5.685943391,716.0263662,32.86925411,32.32995224,1
6,54.96289063,117.140625,138.5283203,23.84988432,4.592128753,2.630050705,568.8169823,21.08764648,6.91716671,1
7,55.92285156,118.5263672,138.4658203,26.05198576,3.778445252,3.287464905,678.7059622,14.27664852,10.8074255,1
8,42.92285156,120.9902344,136.4394531,25.0563604,5.14856457,4.197079306,627.8211966,26.50771713,17.6154747,1
9,63.85839844,114.8574219,141.3232422,20.90450917,2.348782845,2.370886,436.9985037,5.516780853,5.621100426,1
10,40.18066406,129.1552734,138.2949219,19.42884597,2.999073998,3.453787209,377.4800558,8.994444847,11.92864609,1
11,55.50585938,123.1865234,138.4208984,22.90601477,3.6892705,3.118366831,524.6855125,13.61071682,9.724211693,1
12,69.36523438,119.9794922,141.2070313,18.80459246,3.69815322,2.673310903,353.6126976,13.67633724,7.146591187,1
13,70.79882813,121.2734375,141.5585938,20.25049572,4.570566232,4.985965104,410.0825768,20.89007568,24.85984802,1
14,23.0390625,126.0644531,130.5068359,15.81387215,2.536019059,3.315734292,250.0785522,6.43139267,10.99409389,1
15,58.17578125,124.5732422,136.0742188,29.40554196,2.964389369,3.969409317,864.6858978,8.787604332,15.75621033,1
16,55.68652344,120.1298828,138.4365234,27.29870171,5.554042516,4.344972178,745.2191153,30.84738827,18.87878323,1
17,52.79199219,119.6933594,139.4765625,26.61980389,5.875474951,5.414953029,708.6139593,34.5212059,29.32171631,1
18,39.31640625,125.0283203,135.9404297,23.67524181,4.186821157,4.591237218,560.5170746,17.5294714,21.07945919,1
19,52.1328125,120.4648438,138.1679688,28.46015474,4.066192357,4.037556764,809.9804077,16.53392029,16.30186462,1
20,78.93554688,114.1123047,143.7822266,21.2678635,2.561753885,1.737802504,452.3220177,6.56258297,3.019957542,1
21,54.47363281,118.3095703,139.6152344,20.83771202,4.013997264,3.410748512,434.2102423,16.11217403,11.63320541,1
22,70.2890625,117.5009766,143.2939453,18.83513063,2.747512906,2.489533258,354.762146,7.548827171,6.197775841,1
23,74.08007813,114.2666016,144.4765625,19.73846166,2.957415497,2.747057641,389.6068687,8.746306419,7.546325684,1
24,67.71777344,119.5058594,139.1152344,16.84950147,2.192842771,2.110335972,283.9056997,4.808559418,4.453517914,1
25,75.21777344,117.9951172,142.8642578,25.19169546,3.874114766,3.181386882,634.62152,15.00876522,10.1212225,1
26,67.24023438,122.046875,140.9423828,25.7942373,4.858922809,3.106445006,665.3426781,23.60913086,9.650000572,1
27,46.55273438,119.3115234,137.2070313,25.99160682,5.016926819,4.415892527,675.5636253,25.16955471,19.50010681,1
28,50.24414063,124.7158203,139.7851563,22.24352444,6.566836641,4.72141216,494.7743797,43.12334347,22.29173279,1
29,51.71191406,116.671875,138.3105469,21.72767386,3.849937855,4.265281132,472.0918112,14.82202148,18.19262314,1
30,49.98242188,118.4570313,135.9931641,21.65716727,3.480709868,2.228401576,469.0328941,12.11534119,4.965773582,1
31,28.86035156,124.1669922,132.5966797,19.38041835,5.308311247,4.035538987,375.6006155,28.1781683,16.28557491,1
32,61.62890625,116.4755859,139.7871094,24.93571783,3.656569116,4.299980678,621.7900238,13.3704977,18.48983383,1
33,60.08398438,119.9570313,138.8066406,24.96049178,2.914154133,3.695398697,623.0261497,8.492294312,13.65597153,1
34,56.3046875,116.8818359,139.7646484,25.68664341,5.457819626,4.178193982,659.8036499,29.78779507,17.45730495,1
35,51.20996094,119.8583984,136.4003906,21.99014024,5.464772462,3.596851901,483.566268,29.86373806,12.9373436,1
36,61.65429688,124.2304688,140.2070313,22.59238026,3.469117291,3.48855682,510.4156456,12.03477478,12.17002869,1
37,58.79296875,118.5078125,140.0576172,22.228925,4.471692377,3.466299893,494.1251068,19.99603271,12.01523495,1
38,57.45019531,117.8144531,139.6845703,21.64561562,5.251743209,4.382261408,468.5326757,27.58080673,19.20421505,1
39,72.85839844,116.8369141,142.6621094,30.73974784,2.451037059,5.947942285,944.9320974,6.007582664,35.37801743,1
40,69.16796875,119.59375,138.3242188,16.61886369,2.646673915,2.768467708,276.1866302,7.004882813,7.664413452,1
41,42.29785156,122.5917969,136.6640625,23.17617132,3.637555183,4.497225436,537.1349173,13.23180771,20.22503662,1
42,67.98242188,116.8027344,141.6220703,25.88103197,3.898135615,4.532945934,669.827816,15.19546127,20.54759884,1
43,81.12695313,117.3847656,144.6367188,22.10030172,3.319627112,2.587314942,488.423336,11.01992416,6.694198608,1
44,75.22949219,117.5566406,142.6289063,18.3066082,5.368884134,1.676755253,335.1319036,28.82491684,2.811508179,1
45,65.12792969,112.8681641,142.5664063,22.21987605,2.869424306,2.330480012,493.7228918,8.233595848,5.431137085,1
46,80.6328125,116.3798828,144.3603516,20.68797057,4.618367879,4.235502649,427.9921265,21.32932186,17.93948269,1
47,55.26855469,120.3164063,137.3701172,22.44992578,3.42746894,3.117917848,503.9991674,11.74754333,9.721411705,1
48,53.12011719,118.7861328,138.6826172,22.72462152,2.773015036,2.476422134,516.4084234,7.689612389,6.132666588,1
49,72.24609375,118.1533203,140.0292969,23.84872541,4.192269754,4.079426408,568.7617035,17.57512569,16.64171982,1
50,66.8984375,116.4492188,141.0175781,15.91344501,2.957934142,2.536007026,253.2377319,8.74937439,6.431331635,1
51,52.70019531,119.9267578,139.2988281,20.60455805,4.674096131,3.596677964,424.5478125,21.84717464,12.93609238,1
52,65.46289063,120.0351563,142.828125,23.70774592,4.142332711,3.416376861,562.0572166,17.15892029,11.67163086,1
53,54.10351563,121.3525391,137.8984375,18.83353857,2.374533959,2.168992579,354.7021751,5.638411522,4.704528809,1
54,49.2265625,120.6191406,136.7412109,15.38126897,2.468446351,2.079104773,236.5834351,6.093227386,4.322676659,1
55,56.59667969,120.0966797,139.3740234,19.82507558,4.03009052,2.42499779,393.0336218,16.2416296,5.880614281,1
56,51.55957031,121.9521484,136.3037109,16.86406956,2.585010743,2.589896591,284.396842,6.68228054,6.707564354,1
57,53.90039063,123.4375,137.265625,23.31551254,4.482387408,2.661529679,543.6131248,20.09179688,7.083740234,1
58,63.70410156,123.3427734,141.328125,30.71856471,2.612448886,7.118949597,943.6302176,6.824889183,50.67944336,1
59,61.71875,121.2373047,139.8173828,22.48426099,3.839216707,3.078220269,505.5419922,14.73958492,9.475440025,1
60,60.046875,117.0214844,140.2626953,22.99035442,5.165004627,3.648674706,528.5563965,26.6772728,13.31282711,1
61,66.46777344,113.1298828,142.4335938,20.00924924,3.071053995,2.094795535,400.3700552,9.431372643,4.388168335,1
62,47.27539063,123.9550781,136.7880859,31.63877448,6.176594998,4.990715467,1001.012051,38.15032578,24.90724087,1
63,58.29199219,127.1523438,140.1025391,20.87349579,6.823116325,2.521438043,435.7028265,46.55491638,6.357649803,1
64,32.23632813,122.3349609,132.9003906,23.65946578,5.284125364,4.373642629,559.7703209,27.92198086,19.12874985,1
65,34.73046875,123.0976563,134.5400391,23.68848137,4.019755217,4.491567446,561.1441498,16.15843201,20.17417812,1
66,46.46289063,118.8105469,137.9580078,22.57869463,4.723946445,4.113999814,509.797451,22.31567001,16.92499447,1
67,28.74609375,128.4833984,133.3671875,17.32687761,3.615520711,3.240963624,300.2206879,13.07199001,10.50384521,1
68,55.42773438,116.3544922,140.6123047,22.92639914,3.021459598,3.18368107,525.6197777,9.129218102,10.13582516,1
69,66.13769531,121.9824219,141.6269531,27.54002033,6.193469626,4.523322386,758.4527197,38.35906601,20.4604454,1
70,55.76660156,119.5126953,139.8994141,24.2796858,4.833137059,3.879865852,589.5031424,23.35921383,15.05335903,1
71,59.57421875,116.2958984,141.4980469,26.23772703,3.996744619,4.88160571,688.4183197,15.97396755,23.83007431,1
72,22.54980469,125.8603516,131.3388672,10.60795784,3.266339676,3.146707897,112.5287695,10.66897488,9.901770592,1
73,55.89453125,120.8632813,141.4570313,20.35252329,3.951223527,2.792307614,414.2252045,15.61216736,7.796981812,1
74,48.72949219,118.0917969,139.3720703,23.06076529,3.619253405,4.154163152,531.7988958,13.09899521,17.2570715,1
75,54.63378906,118.9277344,138.5283203,24.09043976,5.021890785,2.809925681,580.349288,25.21938705,7.895682335,1
76,59.21386719,118.9423828,139.8388672,22.94882561,4.802505916,4.100592217,526.6485968,23.06406307,16.81485653,1
77,61.99511719,116.8759766,141.6689453,28.45138699,5.033408798,4.458661302,809.4814215,25.33520412,19.87966061,1
78,97.74804688,127.5029297,154.4208984,25.12777884,8.30544762,6.101004718,631.4052696,68.98046017,37.22225857,1
79,101.5791016,116.59375,153.6123047,28.44563058,3.101001602,7.947280205,809.1538992,9.616210938,63.15926266,1
80,59.5625,119.4990234,142.7119141,24.05900949,2.742532301,4.596620558,578.8359375,7.521483421,21.12892056,1
81,72.81738281,126.5341797,142.0283203,25.86350233,5.304663679,4.133535052,668.9207525,28.13945675,17.08611202,1
82,56.72851563,119.2832031,140.2177734,24.05881724,3.243664361,3.763314452,578.8266869,10.52135849,14.16253567,1
83,67.10839844,118.9091797,141.9570313,25.6149555,3.921663803,4.39883123,656.1259451,15.37944698,19.34971619,1
84,79.1015625,119.2841797,146.0253906,23.78869047,5.622768977,3.989407342,565.9017944,31.61553097,15.91537094,1
85,66.21191406,121.6796875,141.0625,30.49819114,4.914199124,4.365838622,930.1396627,24.14935303,19.06054688,1
86,55,122.9042969,134.5068359,25.22659032,4.756843456,4.349922789,636.3808594,22.62755966,18.92182827,1
87,67.4296875,113.7734375,141.3916016,18.60750378,2.05999789,1.718456729,346.2391968,4.243591309,2.953093529,1
88,64.56054688,117.546875,139.7255859,30.05844317,5.36715907,6.14027827,903.510006,28.80639648,37.70301723,1
89,58.03125,116.9072266,139.6132813,27.73333185,3.942480298,4.088242882,769.1376953,15.5431509,16.71372986,1
90,51.54785156,116.4677734,140.7333984,21.90679955,3.669039666,3.324303524,479.9078665,13.46185207,11.05099392,1
91,44.75585938,125.1738281,138.6083984,26.82376957,3.590223622,4.870387218,719.5146141,12.88970566,23.72067165,1
92,60.92773438,119.2392578,140.3886719,21.70502382,2.472580461,3.030010796,471.1080589,6.113654137,9.180965424,1
93,73.37792969,115.3789063,141.6982422,22.909868,6.101116091,6.261064958,524.862052,37.22361755,39.20093441,1
94,67.00585938,118.9541016,145.0996094,20.79963859,5.044609861,3.628478913,432.6249657,25.44808865,13.16585922,1
95,52.1796875,118.9746094,138.7255859,23.13764303,4.810403342,3.514741507,535.3505249,23.13998032,12.35340786,1
96,62.50585938,118.3339844,141.6816406,24.60742482,4.943803072,4.057955974,605.5253563,24.44118881,16.46700668,1
97,80.29394531,121.8300781,145.3916016,29.91933365,5.814216278,5.641639259,895.1665258,33.80511093,31.82809353,1
98,64.99707031,115.7480469,141.4570313,24.41509105,5.076658066,4.821431381,596.0966711,25.77245712,23.24620056,1
99,61.96777344,116.6640625,140.7685547,23.09782898,4.191047646,3.499741545,533.5097036,17.56488037,12.24819088,1
100,81.22753906,114.5107422,143.9863281,16.57682115,1.624964494,2.542952999,274.7909994,2.640509605,6.466609955,1
101,76.18652344,116.1005859,143.0126953,18.2110397,1.502809754,1.756359806,331.6419668,2.258437157,3.084799767,1
102,65.42871094,115.1484375,143.2636719,17.23478711,2.734944137,2.694179308,297.0378866,7.479919434,7.258602142,1
103,68.40722656,115.3681641,141.3789063,21.77349635,2.574325258,2.845120613,474.0851431,6.627150536,8.094711304,1
104,39.11914063,122.4873047,134.90625,20.37843781,3.576157341,3.191021339,415.2807274,12.78890133,10.18261719,1
105,59.921875,116.3007813,140.4335938,28.16898904,4.856873288,5.220479165,793.4919434,23.58921814,27.25340271,1
106,65.66894531,115.7265625,142.1660156,23.98226828,3.473594238,3.526376247,575.1491919,12.06585693,12.43532944,1
107,82.64257813,113.6777344,145.1738281,20.90279735,3.700144152,2.520048245,436.9269371,13.69106674,6.350643158,1
108,72.33105469,114.8769531,141.1904297,18.19385554,1.981973471,1.674097883,331.0163794,3.928218842,2.802603722,1
109,76.05078125,123.5683594,139.6767578,18.24521982,2.727037449,2.857283531,332.8880463,7.436733246,8.164069176,1
110,80.35644531,108.9726563,128.6582031,12.19770796,1.059386235,1.15090449,148.7840796,1.122299194,1.324581146,1
111,79.33691406,109.9375,128.4785156,9.716929323,2.161452058,1.294341405,94.41871548,4.671875,1.675319672,1
112,82.63476563,112.6621094,127.3359375,15.00883211,2.705443342,1.50858141,225.2650414,7.319423676,2.275817871,1
113,86.17773438,111.3486328,128.0585938,18.96439026,4.154080506,1.406765314,359.648098,17.25638485,1.978988647,1
114,77.42773438,110.7705078,126.9550781,12.26468557,2.258462674,0.81486051,150.4225121,5.100653648,0.66399765,1
115,68.68554688,110.1835938,125.6220703,5.90821281,1.17571636,1.016821992,34.90697861,1.38230896,1.033926964,1
116,69.31738281,108.8193359,126.7128906,5.813327443,0.579244818,0.694277561,33.79477596,0.335524559,0.482021332,1
117,69.24414063,109.1337891,126.2324219,4.662952898,0.891951259,0.990523257,21.74312973,0.795577049,0.981136322,1
118,69.23925781,109.8652344,125.7275391,4.150063751,0.692737397,0.62732645,17.22302914,0.479885101,0.393538475,1
119,71.66015625,108.3339844,127.8515625,5.761514827,1.122295945,0.445723495,33.1950531,1.259548187,0.198669434,1
120,72.60351563,106.9697266,128.9736328,5.052171886,1.210332116,1.237550538,25.52444077,1.464903831,1.531531334,1
121,45.01855469,120.515625,126.0771484,15.22124105,3.68375737,2.883632636,231.6861792,13.57006836,8.315337181,1
122,46.40625,119.2460938,126.7333984,16.42588111,4.480642433,4.218659464,269.8095703,20.07615662,17.79708767,1
123,42.76269531,122.8525391,124.59375,18.42137364,4.224039901,4.234000214,339.3470068,17.84251308,17.92675781,1
124,75.85839844,109.9941406,140.4111328,17.8210086,9.771608909,7.027562442,317.5883474,95.48434067,49.38663387,1
125,44.74023438,119.1914063,130.2871094,15.65899123,4.58092218,4.149029188,245.2040062,20.98484802,17.21444321,1
126,54.60253906,112.8154297,134.1894531,15.68511042,4.016095086,2.843792255,246.0226889,16.12901974,8.087154388,1
127,64.078125,106.8535156,140.1308594,18.85444219,6.426874373,5.627123284,355.4899902,41.3047142,31.66451645,1
128,46.64550781,117.1230469,130.2734375,18.20398521,6.048671091,5.856306488,331.3850775,36.58642197,34.29632568,1
129,49.92285156,114.0751953,134.2783203,19.49366146,6.17131801,4.829887291,380.0028372,38.08516598,23.32781124,1
130,66.69238281,107.7470703,140.1953125,13.00826437,2.938080264,3.604594711,169.214942,8.632315636,12.99310303,1
131,43.72265625,116.7236328,130.8369141,15.72167699,4.188990883,3.840542952,247.1711273,17.54764462,14.74977016,1
132,54.984375,111.3486328,137.1494141,20.54610265,6.500641351,6.101048486,422.142334,42.25833797,37.22279263,1
133,45.26660156,114.6943359,132.7773438,16.01056224,6.065022602,5.228493372,256.3381033,36.78449917,27.33714294,1
134,41.77148438,118.4560547,130.8251953,15.61013441,4.574046014,4.38188186,243.6762962,20.92189693,19.20088863,1
135,51.19042969,111.7158203,135.9599609,18.30182779,6.175517415,6.25697723,334.9569006,38.13701534,39.14976406,1
136,50.13769531,112.71875,135.0029297,21.89020866,7.77974383,7.225645463,479.1812353,60.52441406,52.20995235,1
137,42.84472656,116.9228516,130.9042969,19.36149508,6.472968527,5.351932797,374.8674917,41.89932156,28.64318466,1
138,32.18847656,122.8808594,124.40625,11.43385461,4.285634712,3.809809501,130.7330313,18.36666489,14.51464844,1
139,45.69433594,111.9970703,135.484375,17.96359511,6.090062282,5.438914148,322.6907492,37.0888586,29.58178711,1
140,34.40722656,118.8388672,129.0009766,16.41309936,4.622086613,3.405676417,269.3898306,21.36368465,11.59863186,1
141,50.69335938,119.6904297,134.0732422,28.0064117,7.300261273,6.466523382,784.3590965,53.29381466,41.81592464,1
142,30.85644531,121.5322266,126.1386719,15.92922265,4.693635206,4.835205023,253.7401342,22.03021145,23.37920761,1
143,40.19042969,117.3486328,128.5068359,16.73984843,5.725195999,5.499995752,280.2225256,32.77786922,30.24995327,1
144,64.98925781,105.6367188,141.234375,9.89223584,2.777711825,4.016536861,97.85632992,7.715682983,16.13256836,1
