,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,std_r,std_g,std_b,std_h,std_s,std_v,var_r,var_g,var_b,var_h,var_s,var_v,class
0,55.85253906,64.17578125,40.41601563,40.20800781,97.09570313,64.20898438,12.84533648,12.943249,12.10463727,4.197364121,24.56954855,12.89922165,165.0026693,167.5276947,146.5222435,17.61786556,603.6627159,166.3899193,1
1,62.86425781,72.58300781,43.57714844,42.00488281,105.5048828,72.64160156,26.82288064,25.82057501,18.95816491,9.100618947,29.79149508,25.82962257,719.4669256,666.7020941,359.4120169,82.82126522,887.5331793,667.1694021,1
2,61.171875,71.09375,42.35742188,42.48242188,106.5625,71.1484375,26.75101761,25.79541278,18.74956207,9.10559171,31.41263928,25.81211103,715.6169434,665.4033203,351.5460777,82.91180038,986.7539063,666.2650757,1
3,48.52441406,62.41894531,40.01367188,48.35449219,101.1396484,62.49121094,19.1082287,19.86633244,18.9351228,7.082543415,37.24070551,19.87116514,365.124404,394.6711645,358.5388756,50.16242123,1386.870147,394.863204,1
4,53.99316406,70.62792969,42.66015625,47.47753906,103.5908203,70.62792969,15.50702185,18.6546859,14.54793177,6.292316386,22.36765665,18.6546859,240.4677267,347.9973059,211.6423187,39.59324551,500.3120642,347.9973059,1
5,54.18359375,64.40917969,39.32519531,41.37695313,104.5136719,65.3515625,22.51799377,24.97798941,18.01943151,11.92958246,33.42876359,24.20197882,507.0600433,623.8999548,324.6999121,142.3149376,1117.482235,585.7357788,1
6,40.71679688,56.21191406,35.77734375,51.35449219,106.1972656,56.44726563,18.41704032,21.67761425,19.21743477,10.36861246,39.4956751,21.39384112,339.1873741,469.9189596,369.3097992,107.5081244,1559.908352,457.6964378,1
7,44.25195313,56.6328125,36.88769531,48.91894531,101.0986328,56.81933594,22.03718883,23.46972654,20.07899645,13.81335802,36.62978635,23.29644171,485.6376915,550.828064,403.1660986,190.8088598,1341.741248,542.7241964,1
8,35.98925781,44.65820313,28.94335938,42.12207031,97.46484375,45.14648438,17.8399701,22.8380929,17.22293832,12.41131592,36.98686336,22.39166688,318.264533,521.5784874,296.6296043,154.0407629,1368.028061,501.3867455,1
9,46.28027344,64.6953125,38.921875,51.44140625,109.9804688,64.6953125,17.76293987,18.75288877,17.58544292,2.357767328,36.25939546,18.75288877,315.5220327,351.6708374,309.2478027,5.559066772,1314.743759,351.6708374,1
10,46.37890625,38.57324219,24.26269531,19.53125,128.4111328,46.51171875,17.89932197,16.65301056,14.32608304,6.259445987,33.57910892,17.81797776,320.3857269,277.3227606,205.2366552,39.18066406,1127.556556,317.4803314,1
11,51.25390625,54.32324219,36.72265625,33.1015625,92.01171875,55.20507813,17.90845821,20.71405977,16.96449746,9.070655678,32.10909534,20.04479684,320.7128754,429.0722723,287.7941742,82.27679443,1030.994003,401.7938805,1
12,59.47167969,67.44335938,44.07714844,40.03808594,93.8515625,68.06542969,17.38778696,17.22911765,16.07225219,8.189259988,24.69065323,17.118002,302.3351355,296.842495,258.3172903,67.06397915,609.6283569,293.0259924,1
13,63.06054688,68.22363281,44.60351563,35.0234375,94.5078125,69.36425781,19.13638974,18.37339991,16.03441816,9.380906343,36.1826953,18.47821595,366.2014122,337.5818243,257.1025658,88.00140381,1309.187439,341.4444647,1
14,24.06738281,26.19433594,21.65722656,55.9921875,62.01367188,27.04492188,12.25272413,14.02140966,11.20967976,32.87559317,37.94663462,13.58415371,150.1292486,196.5999289,125.6569204,1080.804626,1439.947079,184.529232,1
15,54.66699219,56.36328125,42.55859375,37.12109375,78.07714844,57.50390625,25.35196469,26.00200675,22.86975871,20.18916848,46.91894716,25.75826597,642.7221136,676.1043549,523.0258636,407.6025238,2201.387603,663.488266,1
