,mean_r,mean_g,mean_b,std_r,std_g,std_b,var_r,var_g,var_b,class
0,55.85253906,64.17578125,40.41601563,12.84533648,12.943249,12.10463727,165.0026693,167.5276947,146.5222435,1
1,62.86425781,72.58300781,43.57714844,26.82288064,25.82057501,18.95816491,719.4669256,666.7020941,359.4120169,1
2,61.171875,71.09375,42.35742188,26.75101761,25.79541278,18.74956207,715.6169434,665.4033203,351.5460777,1
3,48.52441406,62.41894531,40.01367188,19.1082287,19.86633244,18.9351228,365.124404,394.6711645,358.5388756,1
4,53.99316406,70.62792969,42.66015625,15.50702185,18.6546859,14.54793177,240.4677267,347.9973059,211.6423187,1
5,54.18359375,64.40917969,39.32519531,22.51799377,24.97798941,18.01943151,507.0600433,623.8999548,324.6999121,1
6,40.71679688,56.21191406,35.77734375,18.41704032,21.67761425,19.21743477,339.1873741,469.9189596,369.3097992,1
7,44.25195313,56.6328125,36.88769531,22.03718883,23.46972654,20.07899645,485.6376915,550.828064,403.1660986,1
8,35.98925781,44.65820313,28.94335938,17.8399701,22.8380929,17.22293832,318.264533,521.5784874,296.6296043,1
9,46.28027344,64.6953125,38.921875,17.76293987,18.75288877,17.58544292,315.5220327,351.6708374,309.2478027,1
10,46.37890625,38.57324219,24.26269531,17.89932197,16.65301056,14.32608304,320.3857269,277.3227606,205.2366552,1
11,51.25390625,54.32324219,36.72265625,17.90845821,20.71405977,16.96449746,320.7128754,429.0722723,287.7941742,1
12,59.47167969,67.44335938,44.07714844,17.38778696,17.22911765,16.07225219,302.3351355,296.842495,258.3172903,1
13,63.06054688,68.22363281,44.60351563,19.13638974,18.37339991,16.03441816,366.2014122,337.5818243,257.1025658,1
14,24.06738281,26.19433594,21.65722656,12.25272413,14.02140966,11.20967976,150.1292486,196.5999289,125.6569204,1
15,54.66699219,56.36328125,42.55859375,25.35196469,26.00200675,22.86975871,642.7221136,676.1043549,523.0258636,1
16,46.46191406,55.92285156,36.70800781,20.45652103,25.31510221,18.7519711,418.4692526,640.8543997,351.6364202,1
17,43.7890625,53.51074219,32.54589844,20.07302191,24.51589651,17.70934613,402.9262085,601.0291815,313.6209402,1
