,mean_r,mean_g,mean_b,std_r,std_g,std_b,var_r,var_g,var_b,skew_r,skew_g,skew_b,kurtosis_r,kurtosis_g,kurtosis_b,class
0,55.85253906,64.17578125,40.41601563,12.84533648,12.943249,12.10463727,165.0026693,167.5276947,146.5222435,0.230329142,0.092768925,0.100036532,-0.100641741,-0.170721718,-0.241771608,1
1,62.86425781,72.58300781,43.57714844,26.82288064,25.82057501,18.95816491,719.4669256,666.7020941,359.4120169,0.471453211,0.309057285,0.3859587,-0.726545353,-0.835030832,-0.494925158,1
2,61.171875,71.09375,42.35742188,26.75101761,25.79541278,18.74956207,715.6169434,665.4033203,351.5460777,0.520643988,0.367920314,0.419226952,-0.620756154,-0.785565106,-0.368961409,1
3,48.52441406,62.41894531,40.01367188,19.1082287,19.86633244,18.9351228,365.124404,394.6711645,358.5388756,0.294116755,0.114420687,0.256327624,-0.195343996,-0.241480669,-0.247515439,1
4,53.99316406,70.62792969,42.66015625,15.50702185,18.6546859,14.54793177,240.4677267,347.9973059,211.6423187,0.09822114,-0.117783759,0.055923563,-0.445440954,-0.837884284,-0.671023535,1
5,54.18359375,64.40917969,39.32519531,22.51799377,24.97798941,18.01943151,507.0600433,623.8999548,324.6999121,0.76143594,0.35854171,0.55337676,0.324789116,-0.273755974,0.418861932,1
6,40.71679688,56.21191406,35.77734375,18.41704032,21.67761425,19.21743477,339.1873741,469.9189596,369.3097992,0.314357734,0.140706108,0.317553908,-0.468850775,-0.58400697,-0.595126103,1
7,44.25195313,56.6328125,36.88769531,22.03718883,23.46972654,20.07899645,485.6376915,550.828064,403.1660986,0.629913136,0.560447821,0.589327874,-0.366397565,-0.418106027,-0.317025736,1
8,35.98925781,44.65820313,28.94335938,17.8399701,22.8380929,17.22293832,318.264533,521.5784874,296.6296043,0.76818588,0.676664413,0.794993245,-0.081130876,-0.531573069,-0.13333534,1
9,46.28027344,64.6953125,38.921875,17.76293987,18.75288877,17.58544292,315.5220327,351.6708374,309.2478027,0.039967524,0.021825002,0.046411254,-0.577599866,-0.579480873,-0.531678639,1
10,46.37890625,38.57324219,24.26269531,17.89932197,16.65301056,14.32608304,320.3857269,277.3227606,205.2366552,1.744339154,1.510369658,1.761372081,3.435096763,3.082240698,4.092252449,1
11,51.25390625,54.32324219,36.72265625,17.90845821,20.71405977,16.96449746,320.7128754,429.0722723,287.7941742,0.189714531,0.303017499,0.271111866,-0.513434964,-0.342058391,-0.387641689,1
12,59.47167969,67.44335938,44.07714844,17.38778696,17.22911765,16.07225219,302.3351355,296.842495,258.3172903,0.583043738,0.648167373,0.661458571,0.019600198,0.363230107,0.212229418,1
