,LBP,class
0,864,0
1,871,0
2,843,0
3,864,0
4,785,0
5,795,0
6,813,0
7,739,0
8,825,0
9,768,0
10,859,0
11,805,0
12,705,0
13,674,0
14,849,0
15,792,0
16,804,0
17,727,0
18,823,0
19,785,0
20,845,0
21,791,0
22,779,0
23,751,0
24,638,0
25,626,0
26,635,0
27,660,0
28,670,0
29,871,0
30,829,0
31,686,0
32,553,0
33,676,0
34,768,0
35,768,0
36,675,0
37,695,0
38,682,0
39,667,0
40,672,0
41,657,0
42,652,0
43,653,0
44,601,0
45,579,0
46,647,0
47,702,0
48,537,0
49,699,0
50,532,0
51,607,0
52,880,0
53,832,0
54,892,0
55,864,0
56,845,0
57,850,0
58,857,0
59,878,0
60,847,0
61,853,0
62,791,0
63,886,0
64,814,0
65,873,0
66,713,0
67,797,0
68,724,0
69,848,0
70,815,0
71,840,0
72,866,0
73,804,0
74,739,0
75,762,0
76,861,0
77,728,0
78,838,0
79,759,0
80,792,0
81,786,0
82,809,0
83,762,0
84,701,0
85,836,0
86,798,0
87,719,0
88,714,0
89,809,0
90,741,0
91,676,0
92,849,0
93,577,0
94,769,0
95,873,0
96,820,0
97,852,0
98,798,0
99,839,0
100,851,0
101,737,0
102,857,0
103,765,0
104,693,0
105,782,0
106,885,0
107,869,0
108,825,0
109,739,0
110,773,0
111,680,0
112,732,0
113,661,0
114,861,0
115,863,0
116,852,0
117,853,0
118,802,0
119,828,0
120,851,0
121,848,0
122,846,0
123,829,0
124,725,0
125,779,0
126,545,0
127,714,0
128,866,0
129,860,0
130,885,0
131,834,0
132,719,0
133,864,0
134,878,0
135,864,0
136,834,0
137,871,0
138,848,0
139,808,0
140,846,0
141,745,0
142,888,0
143,811,0
144,862,0
145,858,0
146,917,0
147,866,0
148,866,0
149,791,0
150,848,0
151,860,0
152,883,0
153,843,0
154,864,0
155,794,0
156,857,0
157,853,0
158,883,0
159,845,0
160,855,0
161,858,0
162,852,0
163,768,0
164,658,0
165,761,0
166,834,0
167,816,0
168,803,0
169,710,0
170,809,0
171,766,0
172,838,0
173,784,0
174,714,0
175,741,0
176,819,0
177,758,0
178,766,0
179,761,0
180,796,0
181,747,0
182,778,0
183,830,0
184,756,0
185,799,0
186,828,0
187,878,0
188,886,0
189,859,0
190,745,0
191,799,0
192,796,0
193,799,0
194,818,0
195,745,0
196,794,0
197,810,0
198,778,0
199,657,0
200,815,0
201,798,0
202,678,0
203,576,0
204,801,0
205,746,0
206,792,0
207,836,0
208,818,0
209,758,0
210,776,0
211,780,0
212,790,0
213,865,0
214,722,0
215,797,0
216,804,0
217,777,0
218,707,0
219,806,0
220,768,0
221,806,0
222,799,0
223,741,0
224,832,0
225,715,0
226,761,0
227,843,0
228,812,0
229,744,0
230,733,0
231,781,0
232,705,0
233,821,0
234,749,0
235,841,0
236,775,0
237,766,0
238,732,0
239,810,0
240,797,0
241,850,0
242,843,0
243,861,0
244,858,0
245,852,0
246,901,0
247,905,0
248,840,0
249,805,0
250,814,0
251,867,0
252,818,0
253,885,0
254,630,0
255,634,0
256,494,0
257,711,0
258,736,0
259,499,0
260,692,0
261,719,0
262,569,0
263,802,0
264,829,0
265,647,0
266,843,0
267,820,0
268,808,0
269,887,0
270,824,0
271,825,0
272,824,0
273,810,0
274,869,0
275,800,0
276,793,0
277,840,0
278,846,0
279,852,0
280,826,0
281,809,0
282,810,0
283,828,0
284,642,0
285,824,0
286,768,0
287,796,0
288,667,0
289,735,0
290,859,0
291,750,0
292,841,0
293,833,0
294,831,0
295,843,0
296,834,0
297,858,0
